Rk,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate
20,Tom Brandstater*\tom-brandstater-1,Fresno State,WAC,13,211,337,62.6,2654,7.9,8.1,15,5,140.5
21,Max Hall*\max-hall-1,Brigham Young,MWC,13,298,496,60.1,3848,7.8,7.7,26,12,137.7
22,Todd Reesing*\todd-reesing-1,Kansas,Big 12,13,276,446,61.9,3486,7.8,8.6,33,7,148.8
23,Colt McCoy*\colt-mccoy-1,Texas,Big 12,13,276,424,65.1,3303,7.8,6.9,22,18,139.2
24,Tyler Donovan*\tyler-donovan-1,Wisconsin,Big Ten,13,193,333,58,2607,7.8,7.4,17,11,134
25,Rusty Smith\rusty-smith-1,Florida Atlantic,Sun Belt,13,281,479,58.7,3688,7.7,8.2,32,9,141.6
26,Nate Davis*\nate-davis-1,Ball State,MAC,13,270,478,56.5,3667,7.7,8.4,30,6,139.1
27,Chase Daniel*\chase-daniel-1,Missouri,Big 12,14,384,563,68.2,4306,7.6,7.9,33,11,147.9
28,Alex Brink\alex-brink-1,Washington State,Pac-10,12,305,503,60.6,3818,7.6,7.3,26,15,135.5
29,Trevor Vittatoe\trevor-vittatoe-1,UTEP,CUSA,12,224,407,55,3101,7.6,8.1,25,7,135.9
30,Adam Tafralis\adam-tafralis-1,San Jose State,WAC,12,251,400,62.8,3022,7.6,7.2,18,11,135.6
31,Sean Glennon*\sean-glennon-1,Virginia Tech,ACC,13,143,235,60.9,1796,7.6,7.7,12,5,137.6
32,Brad Bower\brad-bower-1,Ohio,MAC,11,127,232,54.7,1766,7.6,6.6,11,10,125.7
33,Martin Hankins*\martin-hankins-1,Memphis,CUSA,11,261,428,61,3220,7.5,7.4,25,12,137.8
